단어,카테고리,등급,뜻풀이
악어,일상,2,열대의 강이나 호수에서 살며 생김새는 도마뱀과 비슷하나 몸집은 훨씬 크고 이빨이 날카로우며 물고기나 다른 동물들을 잡아 먹고 사는 동물.
안개,일상,1,땅 가까이에서 수증기가 뭉쳐 아주 작은 물방울들이 부옇게 떠 있는 현상.
안경,일상,1,"시력이 나쁜 눈을 잘 볼 수 있게 하거나 바람, 햇빛 등으로부터 지키기 위해서 눈에 쓰는 물건."
안과,일상,2,눈의 병을 치료하는 의학 분야. 또는 그 분야의 병원.
안내견,일상,2,시각 장애인을 안전하게 인도하도록 특별한 훈련을 받은 개.
안내문,일상,1,어떤 내용을 소개하여 알려 주는 글.
안분지족,고사성어,4,분수에 만족하며 마음 편히 사는 태도
안빈낙도,고사성어,4,가난 속에서도 편안하게 도를 즐기는 마음
안전,일상,1,위험이 생기거나 사고가 날 염려가 없음. 또는 그러한 상태.
안전띠,일상,2,"자동차나 비행기 등에서, 사고가 났을 때 다치지 않도록 몸을 좌석에 붙들어 매는 띠."
안테나,과학,2,전파를 내보내거나 받아들이기 위해 공중에 세우는 장치.
안하무인,고사성어,3,눈앞에 사람이 없는 듯 교만하고 무례하게 행동한다.
알뜰주유소,경제,2,정부가 유통 비용을 줄여 저렴하게 파는 주유소
알람,일상,1,미리 설정해 놓은 시각에 울리거나 위험 등을 알리는 장치 또는 소리.
알레르기,과학,2,특정 물질에 대한 과도한 면역 반응
알로에,일상,2,도톰하고 길쭉한 칼 모양의 잎이 있으며 물컹하고 투명한 육질이 약용 등으로 쓰이는 식물.
알루미늄,과학,3,"화학에서, 부식이 잘 되지 않고 가벼워 건축, 화학, 가정용 제품 등에 널리 쓰이는 은백색의 무른 쇠붙이."
알바,경제,1,돈을 벌기 위해 자신의 본업 외에 임시로 하는 일.
알짜,경제,3,여럿 가운데 가장 중요하거나 훌륭한 것.
알짜배기,경제,3,(속된 말로) 여럿 가운데 가장 중요하거나 훌륭한 것.
알칼리,과학,4,물에 녹으면 염기성을 띠는 물질.
알코올,과학,2,상온에서 액체 상태로 존재하며 불에 잘 타는 화합물.
알파벳,일상,1,유럽과 미국에서 쓰는 언어를 표기하는 로마자의 자모.
암모니아,과학,3,질소와 수소가 결합한 물질로 매우 강한 냄새가 나고 색깔이 없는 기체.
암중모색,고사성어,4,어둠 속에서 손을 더듬어 원하는 것을 찾는다.
압류,경제,3,법에 따라 채무자가 자신의 재산을 사용하거나 처분하지 못하게 하는 일.
압수,경제,3,법원이나 경찰 등의 수사 기관이 증거 수집이나 조사의 목적으로 물건을 강제로 가져감.
압축기,과학,3,공기나 그 밖의 기체를 압축하는 기계.
앙코르,일상,2,음악회 등에서 연주를 마친 출연자에게 환호를 보내고 박수를 치며 다시 한번 연주를 청하는 일.
애걸복걸,고사성어,3,매우 간절하고 애처롭게 도와달라고 매달린다
애매모호,고사성어,3,말이나 상황이 분명하지 않아 혼동스럽다.
애완동물,일상,2,좋아해서 가까이에 두고 귀여워하며 기르는 동물.
애지중지,고사성어,3,매우 사랑하고 소중히 여겨 정성껏 보살핀다.
액면가,경제,3,화폐나 유가 증권의 겉면에 적힌 가격.
액세서리,일상,2,멋을 내려고 몸이나 옷에 달거나 걸어 장식하는 물건.
액수,경제,2,돈의 값을 나타내는 수.
액정,과학,3,"주로 전자 제품의 화면에 쓰이는, 액체와 고체의 중간 상태에 있는 물질."
앵무새,일상,2,사람의 말을 잘 흉내 내며 여러 빛깔을 가진 새.
앵커,일상,2,방송에서 뉴스를 진행하는 사람.
야구,일상,1,"아홉 명씩으로 이루어진 두 팀이 공격과 수비를 번갈아 하며, 상대 선수가 던진 공을 방망이로 치고 경기장을 돌아 점수를 내는 운동 경기."
야반도주,고사성어,3,밤을 틈타 몰래 도망쳐 떠나는 행위
야자수,일상,2,"열대 지방에서 자라는, 잎이 넓고 길며 키가 큰 나무."
약속,일상,1,다른 사람과 어떤 일을 하기로 미리 정함. 또는 그렇게 정한 내용.
약속어음,경제,3,일정 기간 후 돈을 주겠다고 약속한 증서
약육강식,고사성어,3,강한 자가 약한 자를 잡아먹는 냉혹한 논리
약혼식,일상,2,결혼을 하기로 정식으로 약속하는 의식.
양극,과학,3,전류가 흐르고 있을 때 전위가 높은 쪽의 극.
양도,경제,3,"권리나 재산, 물건 등을 남에게 넘겨줌. 또는 그런 일."
양도성예금증서,경제,4,양도가 가능한 은행의 예금 증서
양도세,경제,3,토지나 건물 등을 법적으로 넘겨받아서 얻은 소득에 대하여 부과하는 세금.
양도소득세,경제,2,자산을 양도하여 얻은 이익에 부과하는 세금
양두구육,고사성어,4,겉으로는 좋은 척하나 속은 나쁜 것을 판다
양력,일상,2,지구가 태양의 둘레를 한 바퀴 도는 데 걸리는 시간을 일 년으로 정해 날짜를 세는 달력.
양배추,일상,2,"두껍고 넓은 푸른 잎 속에 약간 하얀 속잎들이 겹겹이 뭉쳐 큰 공 모양을 이룬, 서양에서 들어온 채소."
양상추,일상,2,"잎이 둥글고 넓으면서 물기가 많은, 주로 샐러드를 만들 때 넣는 채소."
양성자,과학,3,원자핵을 구성하며 양전하를 띠는 입자
양송이,일상,2,"겉은 연한 갈색이고 살은 흰색인, 독특한 향기와 맛을 지닌 버섯."
양수,과학,2,물을 위로 퍼 올림. 또는 그 물.
양수기,과학,2,물을 퍼 올리는 기계.
양자역학,과학,3,원자나 아원자 수준의 미시 세계를 다루는 역학
양자택일,고사성어,3,두 가지 방안 중 하나를 선택해야 하는 상황
양적완화,경제,3,중앙은행이 시장에 돈을 푸는 정책
양치질,일상,1,이를 닦고 물로 입안을 씻어 냄.
양파,일상,2,모양은 둥글고 매운맛과 특이한 향기가 있는 채소.
양푼,일상,2,음식을 담는 데 쓰는 넓고 큰 놋그릇.
양호실,일상,2,학교나 회사 등에서 아픈 사람을 돌보고 건강에 관한 일을 맡아보는 곳.
어닝서프라이즈,경제,3,기업 실적이 예상보다 훨씬 좋은 것
어닝쇼크,경제,3,기업 실적이 예상보다 훨씬 나쁜 것
어르신,일상,2,(높이는 말로) 남의 아버지.
어부지리,고사성어,3,두 사람이 싸우는 동안 제3자가 이득을 본다.
어불성설,고사성어,3,말이 도무지 이치에 맞지 않는 억지 주장
어음,경제,3,일정한 금액을 일정한 날짜와 장소에서 지불할 것을 약속하거나 다른 사람에게 그 지급을 맡기는 유가 증권.
어학연수,일상,2,외국어를 배우기 위해 그 말을 사용하는 나라로 가서 언어와 문화를 직접 배우는 학습 방법.
언감생심,고사성어,3,어려운 형편에 감히 생각조차 하지 못한다.
언덕,일상,2,"낮은 산처럼 비스듬하게 경사져 있고, 보통 땅보다 약간 높이 솟아 있는 곳."
언어,일상,1,생각이나 느낌 등을 나타내거나 전달하는 음성이나 문자 등의 수단. 또는 그 체계.
언어도단,고사성어,4,말문이 막힐 정도로 어이가 없고 황당하다.
언중유골,고사성어,4,말속에 뼈가 있다는 뜻으로 숨은 의도가 있다.
언행일치,고사성어,3,말한 대로 행동하여 거짓이 없는 모습
얼굴,일상,1,"눈, 코, 입이 있는 머리의 앞쪽 부분."
얼룩무늬,일상,2,본바탕에 다른 색의 점이나 줄 등이 섞인 무늬.
엄동설한,고사성어,3,매우 추운 겨울의 혹독한 날씨
업계,경제,2,같은 산업이나 상업 부문에서 일하는 사람들의 활동 분야.
업체,경제,2,이익을 얻기 위해서 특정 사업을 하는 단체.
에너지,일상,2,"사람이 육체적, 정신적 활동을 하는 데 필요한 힘."
에누리,경제,3,물건값을 받을 값보다 더 많이 부르는 일. 또는 그 물건값.
에스코트,일상,2,개인이나 단체를 따라다니며 편안하게 보호하거나 안내함.
에어백,일상,2,"차가 어떤 것과 부딪칠 때, 차 안에서 갑자기 부풀어 나와 사람을 감싸서 충격을 줄여 주는 공기 주머니."
에어컨,일상,1,차가운 공기를 나오게 하고 습도를 조절하는 기계.
에티켓,일상,2,일상생활에서 지켜야 할 예절이나 규범.
엑스레이,일상,2,"보통의 빛이 뚫고 지나가지 못하는 물체를 뚫고 지나가는, 눈에 보이지 않는 광선."
엔지니어,일상,2,"기계, 전기, 토목, 건축 등의 기술자."
엔진,일상,2,"열, 전기 등의 에너지를 이용해 자동차 등의 기계를 움직이게 만드는 장치."
엔캐리트레이드,경제,3,저금리인 엔화를 빌려 고수익 자산에 투자하는 것
엔트로피,과학,4,계의 무질서도 정도를 나타내는 물리량
엥겔지수,경제,3,가계 지출 중 식료품비가 차지하는 비율
여과,과학,3,액체 속에 들어 있는 알갱이나 가라앉은 물질을 걸러 내는 일.
여과기,과학,3,액체 속에 들어 있는 알갱이나 가라앉은 물질을 걸러 내는 데 쓰는 기구.
여권,일상,1,"다른 나라를 여행하는 사람의 신분이나 국적을 증명하고, 여행하는 나라에 그 사람의 보호를 맡기는 문서."
여드름,일상,2,주로 사춘기에 얼굴이나 몸 등에 볼록하게 솟아 나오는 붉고 작은 염증.
여유만만,고사성어,3,마음에 여유가 넘쳐 느긋하고 조급함
여행,일상,1,집을 떠나 다른 지방이나 나라를 두루 구경하며 다니는 일.
역모기지,경제,3,주택을 담보로 노후 자금을 연금처럼 받는 것
역사,일상,1,인간 사회가 시간이 지남에 따라 흥하고 망하면서 변해 온 과정. 또는 그 기록.
역전세,경제,2,전세 시세가 내려가 보증금 반환이 어려운 상황
역지사지,고사성어,3,상대방의 처지에서 다시 한번 생각해 보는 마음
역할,일상,2,맡은 일 또는 해야 하는 일.
연구,일상,2,어떤 사물이나 일에 관련된 사실을 밝히기 위해 그에 대해 자세히 조사하고 분석하는 일.
연극,일상,1,배우가 대본에 따라 사건이나 인물을 말과 동작으로 무대에서 연기해 보여주는 예술.
연금,경제,2,정기적으로 받는 생활비
연금술,과학,3,비금속을 금으로 바꾸려 했던 고대의 화학 기법
연금저축,경제,3,노후를 위해 저축하는 연금 상품
연기,일상,2,"배우가 맡은 역할에 따라 인물, 성격, 행동 등을 표현해 내는 것."
연동,과학,3,한 부분이 움직이면 연결되어 있는 다른 부분이 함께 움직임.
연락,일상,1,어떤 사실을 전하여 알림.
연료전지,과학,2,화학 에너지를 직접 전기 에너지로 바꾸는 장치
연말연시,고사성어,3,한 해가 끝나고 새로운 해가 시작되는 기간
연목구어,고사성어,4,나무에 올라가 물고기를 구하듯 헛된 일을 한다.
연설,일상,2,여러 사람 앞에서 자기의 생각이나 주장을 발표함.
연소,과학,3,물질이 산소와 결합하여 열과 빛을 내는 현상.
연이율,경제,3,일 년을 단위로 하여 정한 이율.
연중무휴,고사성어,3,일 년 내내 쉬지 않고 계속 문을 연다.
연체료,경제,2,내야 하는 돈이나 물건 등을 기한이 지나도록 내지 않았을 때 밀린 날짜에 따라 더 내는 돈.
연필,일상,1,가늘고 긴 검은색 심을 나무 막대 속에 넣어 글씨를 쓰거나 그림을 그릴 때 쓰는 도구.
연하장,일상,2,새해를 축하하고 안부를 전하는 간단한 글이나 그림으로 된 카드나 편지.
연회비,경제,2,모임이나 단체에서 그 구성원들에게 일 년에 한 번씩 걷는 돈.
열무,일상,2,잎이 연해서 뿌리보다 잎을 주로 이용하여 김치 등을 담그는 어린 무.
열쇠,일상,1,잠금 장치를 잠그거나 열 수 있게 하는 도구.
열역학,과학,2,에너지의 흐름과 열의 변환을 다루는 학문
열차,일상,1,여러 개의 칸을 길게 이어 놓은 기차나 전철.
열처리,과학,3,재료의 성질을 바꾸기 위해서 가열하거나 냉각함.
염색체,과학,3,유전 정보를 담고 있는 DNA의 응축물
염소,과학,3,"자극적인 냄새가 나고 쉽게 액체로 변하여 표백제, 산화제, 소독제 등으로 쓰는 누르스름한 기체."
엽록소,과학,2,식물이 광합성을 할 때 필요한 초록색 색소
엽서,일상,1,"보내는 사람과 받는 사람의 주소, 편지의 내용을 한 장에 적어서 우편으로 보낼 수 있도록 만들어진 용지."
영세,경제,3,사업이나 살림의 규모가 매우 작고 가난함.
영세민,경제,3,수입이 적어 매우 가난한 사람.
영세업자,경제,3,적은 자본으로 소규모 사업을 하는 상공업자.
영수증,경제,1,돈이나 물건을 주고받은 사실이 적힌 종이.
영업이익,경제,3,영업 활동을 통해 얻은 순이익
예금,경제,2,은행 등의 금융 기관에 돈을 맡김. 또는 그 돈.
예금액,경제,2,은행 등의 금융 기관에 저금해 둔 돈의 액수.
예금자보호,경제,3,금융기관 파산 시 예금을 보장해 주는 제도
예금주,경제,2,은행에 통장을 만들어 돈을 저축한 사람.
예대율,경제,3,예금 대비 대출금의 비율
예매,일상,1,차표나 입장권 등을 정해진 때가 되기 전에 미리 사 둠.
예방법,일상,2,병이나 사고 등이 생기지 않도록 미리 막는 방법.
예산,경제,2,필요한 비용을 미리 계산해서 정함. 또는 그런 비용.
예산안,경제,3,회사나 단체 등에서 필요한 비용을 계산하여 처음 작성한 것.
예습,일상,1,앞으로 배울 것을 미리 공부함.
예약,일상,1,"자리나 방, 물건 등을 사용하기 위해 미리 약속함. 또는 그런 약속."
예약금,경제,2,예약할 때 내는 돈.
예약석,경제,2,예약해 놓은 자리.
예약제,경제,2,예약을 통해 주문이나 판매 등이 이루어지는 제도.
예의주시,고사성어,3,어떤 상황을 주의 깊게 지켜보며 파악한다.
예치,경제,3,돈이나 물건을 은행이나 기관 등에 맡겨 둠.
예치금,경제,3,은행이나 기관 등에 맡겨 둔 돈.
예탁,경제,3,"은행 등의 금융 기관에 돈이나 주식, 물건 등을 부탁하여 맡김."
예탁결제원,경제,3,증권을 집중 보관하고 결제하는 기관
오늘,일상,1,지금 지나가고 있는 이날.
오더,경제,3,물품을 주문하는 것.
오렌지,일상,1,껍질이 두껍고 즙이 많은 주황색의 둥근 열매.
오리무중,고사성어,3,안개 속에 갇혀 앞이 하나도 보이지 않는다.
오매불망,고사성어,3,자나 깨나 잊지 못하고 간절히 생각
오비삼척,고사성어,4,내 코가 석 자라는 뜻으로 내 일도 해결하기 바쁘다.
오비이락,고사성어,4,까마귀 날자 배 떨어진다는 속담처럼 오해받기 쉽다.
오십보백보,고사성어,3,오십 걸음 도망친 사람이나 백 걸음 도망친 사람이나 본질적으로는 같다
오월동주,고사성어,4,사이가 나쁜 사람들이 한배를 타고 협력한다.
오작동,과학,3,기계가 잘못 작동함.
오장육부,고사성어,3,사람의 내장 기관을 통틀어 이르는 말
오존,과학,2,산소 원자 3개로 구성된 기체로 자외선을 차단함
오징어,일상,2,"뼈가 없고 말랑말랑한 긴 몸에 긴 다리가 열 개 달린, 바다에 사는 동물."
오토바이,일상,2,동력을 일으키는 기계의 힘으로 달리는 두 바퀴의 탈것.
오퍼,경제,3,수출하는 쪽에서 수입하는 쪽에 내는 판매 신청.
오퍼상,경제,3,무역 거래에서 물건을 파는 쪽과 사는 쪽 사이의 거래 조건을 조정하는 일.
오프라인,일상,2,컴퓨터나 통신 기기가 네트워크나 인터넷 등에 연결되어 있지 않은 상태.
오합지졸,고사성어,3,질서 없이 모인 훈련되지 않은 군대 무리
오합지중,고사성어,3,까마귀 떼처럼 어수선하게 모여 있는 무리
옥상가옥,고사성어,4,지붕 위에 또 지붕을 얹듯 불필요한 중복
옥수수,일상,2,줄기가 높고 잎이 길며 수염 같은 꽃이 피는 식물의 알갱이가 촘촘한 열매.
온고지신,고사성어,3,옛것을 익혀서 새로운 것을 배워나가는 지혜
온실효과,과학,2,대기 중 기체가 지구 복사열을 가두는 현상
올림,경제,3,"수학에서 어림수를 구할 때, 구하려는 자리의 숫자를 1만큼 크게 하고 그보다 아랫자리는 모두 버리는 일."
올림픽,일상,1,4년에 한 번씩 열리는 국제적인 운동 경기 대회.
와신상담,고사성어,4,복수를 위해 고통을 참고 힘을 기르는 모습
와이셔츠,일상,1,양복 윗옷 안에 입는 칼라와 소매가 달린 셔츠.
와인,일상,2,포도의 즙을 발효시켜서 만든 서양 술.
왁스,일상,2,"마루나 가구, 자동차 등에 광택을 내는 데 쓰는 물질."
완납,경제,3,"세금이나 수업료, 등록금 등을 남김없이 완전히 냄."
완불,경제,3,내야 하는 비용을 다 지불함.
외강내유,고사성어,3,겉은 강해 보이나 속은 부드러운 사람
외상,경제,3,돈은 나중에 내기로 하고 물건을 사거나 파는 일.
외유내강,고사성어,3,겉으로는 부드러워 보이지만 속은 매우 강인하다.
외채,경제,3,한 나라가 다른 나라에 진 빚.
외화,경제,3,외국의 돈.
외환,경제,3,"다른 나라와 거래를 할 때 쓰는, 발행지와 지급지가 다른 어음."
요가,일상,1,"고대 인도에서부터 전해 내려오는, 몸과 마음을 단련하는 방법."
요구르트,일상,2,우유를 발효시켜서 만든 음료.
요금,경제,1,시설을 쓰거나 구경을 하는 값으로 내는 돈.
요리법,일상,2,음식을 만드는 방법.
요리사,일상,1,음식 만드는 것을 직업으로 하는 사람.
요율,경제,3,요금의 정도나 비율.
용감무쌍,고사성어,3,매우 용감하여 그 누구도 당할 자가 없다.
용광로,과학,3,아주 높은 온도로 광석을 녹여서 쇳물을 만드는 장치.
용두사미,고사성어,3,시작은 용처럼 거창했으나 끝은 뱀처럼 초라하다.
용매,과학,3,어떤 물질을 녹이는 데 쓰는 액체. 또는 액체를 액체에 녹일 때 양이 많은 쪽의 액체.
용액,과학,3,두 가지 이상의 물질이 고르게 섞인 액체.
용역,경제,3,생산과 소비에 필요한 노동력을 제공하는 일.
용적률,경제,3,대지 면적에 대한 건축물의 연면적 비율
용접,과학,3,"두 개의 금속, 유리, 플라스틱 등을 녹여 서로 이어 붙이는 일."
용해,과학,3,녹거나 녹임.
용호상박,고사성어,3,용과 호랑이가 서로 싸우는 것처럼 대단한 대결
우공이산,고사성어,4,어리석어 보여도 꾸준히 노력하면 산도 옮긴다.
우라늄,과학,3,"원자력의 원료로 사용되며, 원소 중에서 가장 무거운 은백색의 금속 원소."
우량주,경제,3,회사가 거두어들이는 이익과 주주들이 받는 이익이 높은 일류 회사의 주식.
우리은하,과학,3,태양계가 속해 있는 은하
우박,일상,2,큰 물방울들이 공중에서 찬 기운을 만나 얼음이 되어 떨어지는 덩어리.
우비,일상,2,비를 맞지 않기 위해 사용하는 옷이나 물건.
우산,일상,1,긴 막대 위에 지붕 같은 막을 펼쳐서 비가 올 때 손에 들고 머리 위를 가리는 도구.
우왕좌왕,고사성어,3,갈팡질팡하며 이리저리 왔다 갔다 한다.
우유,일상,1,"암소의 젖으로, 아이스크림, 버터, 치즈 등을 만드는 데 사용하는 흰 액체."
우유부단,고사성어,3,결단력이 부족하여 이리저리 망설이기만 한다.
우이독경,고사성어,4,소의 귀에 경을 읽어도 소용없다는 뜻
우주선,과학,2,우주 공간을 날아다닐 수 있도록 만든 물체.
우주여행,과학,2,지구를 벗어나 우주 공간이나 다른 행성으로 가는 여행.
우체국,일상,1,"편지, 소포를 보내는 일이나 예금 관리 등의 일을 하는 공공 기관."
우회상장,경제,3,비상장사가 상장사와 합병하여 상장하는 방식
우후죽순,고사성어,3,비 온 뒤 죽순이 돋듯 어떤 일이 많이 생긴다.
운동량,과학,2,물체의 질량과 속도의 곱으로 나타내는 물리량
운동량보존법칙,과학,4,외부 힘이 없을 때 물체계의 총 운동량은 일정하다는 법칙
운동에너지,과학,3,물체가 운동함으로써 가지는 에너지
운명,일상,2,인간과 세상 모든 것에 영향을 미치는 초인적이고 필연적인 힘. 또는 그 힘에 의해 이미 정해진 목숨이나 상태.
운영비,경제,3,"조직이나 기구, 사업체 등을 관리하고 이끌어 나가는 데 드는 돈."
운용,경제,3,무엇을 움직이게 하거나 사용함.
운용비,경제,3,무엇을 움직이게 하거나 사용하는 데 드는 돈.
운칠기삼,고사성어,3,운이 7할이고 노력이 3할이라 성공은 운도 필요하다.
울보,일상,2,잘 우는 아이.
울음,일상,1,소리를 내면서 눈물을 흘리는 일.
웃돈,경제,3,원래의 값보다 더 주는 돈.
워크아웃,경제,3,기업의 경영 정상화 과정
원가,경제,3,상품을 만들어서 팔기까지의 과정에 들어간 모든 비용을 합한 가격.
원고지,일상,2,한 칸에 한 글자씩 쓸 수 있도록 칸이 그려져 있는 종이.
원교근공,고사성어,4,먼 나라와는 친하게 지내고 가까운 나라를 공격한다.
원금,경제,3,빌리거나 맡긴 돈에 이자를 붙이지 않은 원래의 돈.
원리금,경제,3,원금과 이자를 합한 돈.
원소,과학,3,"수학에서, 집합을 이루는 낱낱의 요소."
원숭이,일상,2,"꼬리가 길며 주로 얼굴과 엉덩이에 털이 없고, 나무에 잘 올라가며 사람과 닮은 동물."
원심분리기,과학,3,회전력을 이용하여 밀도가 다른 물질을 분리하는 기기
원자,과학,3,물질을 이루며 그 물질의 성질을 나타내는 가장 작은 단위.
원자재,경제,3,기계로 물건을 만들어 내는 데 필요한 재료.
원적외선,과학,3,파장이 가장 긴 적외선.
원전,과학,3,‘원자력 발전소’를 줄여 이르는 말.
원천과세,경제,3,소득이 발생하는 원천에서 세금을 거두는 방식
원천징수,경제,3,지급자가 세금을 미리 떼고 돈을 주는 방식
원폭,과학,3,‘원자 폭탄’을 줄여 이르는 말.
원피스,일상,1,윗옷과 치마가 하나로 붙어 있는 여자 겉옷.
원화,경제,3,원을 단위로 하는 한국의 화폐.
월급,경제,1,일한 대가로 한 달마다 지급하는 보수.
월급날,일상,2,일한 대가로 한 달마다 지급하는 보수를 받는 날.
월부,경제,3,물건값이나 빚 등의 액수가 정해진 돈을 다달이 얼마씩 나누어 내거나 갚는 일.
월세방,일상,2,다달이 돈을 받고 빌려주는 방. 또는 다달이 돈을 주고 빌려 쓰는 방.
월식,과학,2,지구가 달을 가리는 현상
위급존망,고사성어,4,존재하느냐 망하느냐의 매우 위태로운 고비
위기일발,고사성어,3,머리카락 하나로 천 근의 무게를 지탱하는 위기
위로금,경제,3,"괴로움을 덜어 주고 슬픔을 달래 주거나, 수고에 대한 고마움이나 칭찬의 뜻으로 주는 돈."
위스키,일상,2,"보리, 밀, 수수 등을 효모로 발효시켜 만든 서양 술."
위약금,경제,3,계약을 어기는 사람이 계약의 상대방에게 주기로 약속한 돈.
위자료,경제,3,"어떤 일로 손해를 입혔을 때, 정신적 고통이나 피해에 대해 물어 주는 돈."
위탁금,경제,3,일정한 계약 아래 어떤 기관이나 남에게 맡겨 둔 돈.
위풍당당,고사성어,3,기운차고 씩씩하여 보기에 아주 자랑스럽다.
유가,경제,3,석유의 가격.
유구무언,고사성어,3,변명할 말이 없어 아무 말도 못 하고 있다.
유급,경제,3,일을 한 대가로 받는 돈이 있음.
유기물,과학,3,"생물의 몸을 이루며, 그 안에서 생명력에 의하여 만들어지는 물질."
유기체,과학,3,각 부분과 전체가 밀접한 관계를 맺으며 이루어진 조직체.
유니폼,일상,2,학교나 회사 등의 조직에서 정해진 규정에 따라 입는 옷.
유동성,경제,3,자산을 현금으로 바꿀 수 있는 정도
유람선,일상,2,구경하는 사람들을 태우고 다니는 배.
유로,경제,2,유럽 연합의 공식 화폐인 유럽 단일 통화의 이름.
유료,경제,2,요금을 내게 되어 있음.
유리,일상,1,"투명하고 단단하며 잘 깨지는, 창문이나 거울 등에 사용되는 물질."
유명무실,고사성어,3,이름만 있고 실질적인 내용은 없는 상태
유명인,일상,2,이름이 널리 알려져 있는 사람.
유비무환,고사성어,3,준비가 있으면 걱정이 없다는 평소 대비의 중요성
유선,과학,2,전선을 통한 방송이나 통신 방법.
유실물,일상,2,잘 간수하지 못하여 잃어버린 물건.
유아독존,고사성어,3,세상에서 자기 혼자만 잘났다고 생각하는 태도
유언비어,고사성어,3,근거 없이 세상에 떠도는 거짓된 소문
유에프오,과학,3,정체를 알 수 없어 주로 지구 밖의 세계에서 온 것으로 여겨지는 비행체.
유유상종,고사성어,3,끼리끼리 어울린다는 뜻으로 비슷한 사람끼리 모인다.
유유자적,고사성어,4,속세에 얽매이지 않고 편안하게 삶을 즐긴다.
유전자,과학,3,생물체의 형질을 결정하는 유전 정보의 단위
유찰,경제,3,경매나 경쟁 입찰 등에서 물건이나 일을 따낸 사람이 결정되지 않고 무효로 돌아감.
유치원,일상,1,초등학교 입학 이전의 어린이들을 교육하는 기관 및 시설.
유통,경제,2,공기 등이 막힘없이 흐름.
유학생,일상,1,외국에 머물러 살면서 공부하는 학생.
유행,일상,1,전염병이 널리 퍼짐.
유행어,일상,2,어느 한 시기에 많은 사람들 사이에 널리 퍼져 쓰이는 말.
육교,일상,1,도로나 철로 위를 건너갈 수 있도록 만든 다리.
융자,경제,3,은행 등의 금융 기관에서 돈을 빌려줌. 또는 그 돈.
융통,경제,3,돈이나 물건 등을 다른 곳에서 빌리거나 구해서 씀.
은하,과학,3,수많은 별과 가스
음극,과학,3,전류가 흐르고 있을 때 전위가 낮은 쪽의 극.
음료,일상,1,물이나 물처럼 마시는 모든 액체.
음악,일상,1,목소리나 악기로 박자와 가락이 있게 소리 내어 생각이나 감정을 표현하는 예술.
음주,일상,2,술을 마심.
음향기,과학,3,소리를 내는 기계.
읍참마속,고사성어,4,법의 엄격함을 지키기 위해 아끼는 부하를 베어버린다.
응원,일상,2,"운동 경기 등에서, 노래나 손뼉치기 등을 하면서 선수들을 격려하는 일."
응찰,경제,3,입찰에 참가함.
의기소침,고사성어,3,일에 대한 의욕이 사라지고 풀이 죽어 있다.
의기투합,고사성어,3,서로의 뜻이 잘 맞아 기분이 좋게 합친다.
의료비,경제,2,상처나 병을 치료하는 데 드는 돈.
의미,일상,1,"말이나 글, 기호 등이 나타내는 뜻."
의미심장,고사성어,3,말이나 글 속에 깊은 뜻이 담겨 있다.
의사,일상,1,일정한 자격을 가지고서 병을 진찰하고 치료하는 일을 직업으로 하는 사람.
의연금,경제,3,사회에 도움이 되거나 어려운 상황에 있는 사람들을 돕기 위해서 내는 돈.
의자,일상,1,사람이 엉덩이와 허벅지를 대고 걸터앉는 데 쓰는 기구.
이구동성,고사성어,3,여러 사람의 말이 한 목소리처럼 똑같다.
이기적,일상,2,자신의 이익만을 생각하는 것.
이당류,과학,4,단당류 두 개가 결합한 탄수화물
이력서,일상,2,"자신의 학력, 경력과 같은 지금까지의 이력을 적은 문서."
이름,일상,1,"다른 것과 구별하기 위해 동물, 사물, 현상 등에 붙여서 부르는 말."
이메일,일상,2,인터넷이나 통신망으로 주고받는 편지.
이목구비,고사성어,3,귀 눈 입 코라는 얼굴의 네 가지 부위
이서,경제,3,수표나 어음 등의 뒷면에 소유자의 이름과 전화번호 등의 필요한 사항을 적고 서명하거나 도장을 찍는 일.
이슬점,과학,3,공기 중의 수증기가 응결하여 이슬이 맺히는 온도
이실직고,고사성어,3,사실대로 숨김없이 바르게 이야기한다.
이심전심,고사성어,3,말하지 않아도 마음이 마음으로 통한다.
이쑤시개,일상,2,이 사이에 낀 음식물을 쑤셔 파내는 데에 쓰는 물건.
이열치열,고사성어,3,열로써 열을 다스린다는 뜻으로 더위는 더위로 이긴다.
이온,과학,3,양의 전기나 음의 전기를 띤 원자 또는 원자의 집단.
이월금,경제,3,손해와 이익을 정리하여 한 시기를 결산한 후 다음 시기로 넘긴 잔액.
이윤,경제,3,장사를 해서 번 돈.
이율,경제,3,빌린 돈에 대한 이자의 비율.
이율배반,고사성어,3,두 가지 판단이 서로 맞지 않고 모순됨
이익,경제,2,물질적으로나 정신적으로 보탬이나 도움이 되는 것.
이익금,경제,3,벌어들인 돈에서 순전히 이익으로 남은 돈.
이자,경제,2,남에게 돈을 빌려 쓰고 그 대가로 일정하게 내는 돈.
이자소득,경제,2,이자로 얻는 소득
이자율,경제,3,빌린 돈에 대한 이자의 비율.
이전투구,고사성어,4,진흙탕에서 싸우는 개처럼 서로 헐뜯고 다툰다.
이중가격제,경제,3,대상에 따라 다른 가격을 받는 것
이직률,경제,3,다니던 직장을 옮기거나 직업을 바꾸는 사람들의 비율.
이체,경제,2,"은행 등 금융 기관의 계좌에 있는 돈을 은행 직원, 인터넷, 기계 등을 통하여 다른 계좌로 옮김."
이판사판,고사성어,3,막다른 골목에서 어떻게 되든 상관없다는 심정
